Year_Country,Country,Year,co2,coal_co2,total_ghg,methane,nitrous_oxide,Population
1990_Afghanistan,Afghanistan,1990,2.603,0.278,15.14,8.97,3.25,12412311.0
1991_Afghanistan,Afghanistan,1991,2.427,0.249,15.06,9.07,3.3,13299016.0
1992_Afghanistan,Afghanistan,1992,1.379,0.022,13.6,9.0,3.21,14485543.0
1993_Afghanistan,Afghanistan,1993,1.333,0.018,13.43,8.9,3.21,15816601.0
1994_Afghanistan,Afghanistan,1994,1.282,0.015,13.24,8.97,2.99,17075728.0
1995_Afghanistan,Afghanistan,1995,1.23,0.015,13.45,9.15,3.07,18110662.0
1996_Afghanistan,Afghanistan,1996,1.165,0.007,14.4,9.93,3.29,18853444.0
1997_Afghanistan,Afghanistan,1997,1.084,0.004,15.3,10.6,3.59,19357126.0
1998_Afghanistan,Afghanistan,1998,1.029,0.004,16.05,11.1,3.88,19737770.0
1999_Afghanistan,Afghanistan,1999,0.81,0.004,16.89,11.87,4.15,20170847.0
2000_Afghanistan,Afghanistan,2000,0.758,0.004,15.05,10.59,3.62,20779957.0
2001_Afghanistan,Afghanistan,2001,0.798,0.07,13.47,9.36,3.22,21606992.0
2002_Afghanistan,Afghanistan,2002,1.052,0.055,16.1,11.21,3.72,22600774.0
2003_Afghanistan,Afghanistan,2003,1.186,0.092,16.78,11.56,3.92,23680871.0
2004_Afghanistan,Afghanistan,2004,0.889,0.092,16.35,11.47,3.82,24726689.0
2005_Afghanistan,Afghanistan,2005,1.303,0.106,17.09,11.68,3.97,25654274.0
2006_Afghanistan,Afghanistan,2006,1.635,0.161,20.74,14.89,4.06,26433058.0
2007_Afghanistan,Afghanistan,2007,2.269,0.749,24.78,18.1,4.25,27100542.0
2008_Afghanistan,Afghanistan,2008,4.2,1.077,31.39,22.19,4.81,27722281.0
2009_Afghanistan,Afghanistan,2009,6.74,1.513,37.72,25.43,5.32,28394806.0
2010_Afghanistan,Afghanistan,2010,8.398,2.246,44.75,30.04,6.03,29185511.0
2011_Afghanistan,Afghanistan,2011,12.106,4.181,58.62,39.48,6.61,30117411.0
2012_Afghanistan,Afghanistan,2012,10.219,3.125,67.05,48.78,7.16,31161378.0
2013_Afghanistan,Afghanistan,2013,8.441,3.327,76.29,58.13,7.72,32269592.0
2014_Afghanistan,Afghanistan,2014,7.774,3.704,86.6,67.77,8.55,33370803.0
2015_Afghanistan,Afghanistan,2015,7.904,2.843,93.54,76.62,8.59,34413603.0
2016_Afghanistan,Afghanistan,2016,6.745,2.878,96.59,78.17,9.13,35383028.0
1990_Albania,Albania,1990,5.445,2.499,11.43,3.67,1.59,3286070.0
1991_Albania,Albania,1991,4.228,1.48,9.03,3.62,1.22,3280397.0
1992_Albania,Albania,1992,2.495,0.8,6.95,3.52,1.14,3245887.0
1993_Albania,Albania,1993,2.316,0.6,6.95,3.58,1.17,3195196.0
1994_Albania,Albania,1994,1.913,0.169,7.73,4.15,1.38,3146518.0
1995_Albania,Albania,1995,2.066,0.161,7.48,4.13,1.34,3112923.0
1996_Albania,Albania,1996,1.993,0.114,7.28,3.96,1.19,3098699.0
1997_Albania,Albania,1997,1.532,0.044,6.51,3.77,1.14,3099747.0
1998_Albania,Albania,1998,1.744,0.055,6.81,3.63,1.18,3110699.0
1999_Albania,Albania,1999,2.975,0.11,7.96,3.7,1.12,3122700.0
2000_Albania,Albania,2000,3.004,0.07,8.4,3.79,1.21,3129246.0
2001_Albania,Albania,2001,3.221,0.081,9.03,3.7,1.15,3129701.0
2002_Albania,Albania,2002,3.748,0.084,9.72,3.64,1.29,3126183.0
2003_Albania,Albania,2003,4.232,0.084,10.09,3.68,1.31,3118017.0
2004_Albania,Albania,2004,4.104,0.084,10.15,3.59,1.27,3104893.0
2005_Albania,Albania,2005,4.199,0.073,9.92,3.58,1.28,3086810.0
2006_Albania,Albania,2006,3.844,0.073,8.75,3.53,1.22,3063021.0
2007_Albania,Albania,2007,3.829,0.073,9.06,3.52,1.28,3033993.0
2008_Albania,Albania,2008,4.272,0.103,8.53,3.23,1.14,3002683.0
2009_Albania,Albania,2009,4.254,0.388,8.64,3.12,1.14,2973044.0
2010_Albania,Albania,2010,4.448,0.429,8.85,3.12,1.13,2948029.0
2011_Albania,Albania,2011,5.031,0.535,9.29,3.15,1.18,2928601.0
2012_Albania,Albania,2012,4.668,0.627,8.95,3.23,1.22,2914091.0
2013_Albania,Albania,2013,4.928,0.795,9.01,3.19,1.16,2903788.0
2014_Albania,Albania,2014,5.621,1.029,9.51,3.23,1.18,2896307.0
2015_Albania,Albania,2015,4.496,0.322,9.3,3.26,1.22,2890524.0
2016_Albania,Albania,2016,4.492,0.191,9.19,3.25,1.26,2886427.0
1990_Algeria,Algeria,1990,76.738,2.942,96.03,22.14,5.0,25758872.0
1991_Algeria,Algeria,1991,78.807,2.689,94.85,22.19,4.77,26400468.0
1992_Algeria,Algeria,1992,79.883,2.378,94.54,22.61,4.75,27028330.0
1993_Algeria,Algeria,1993,81.944,1.924,102.03,22.91,4.66,27635517.0
1994_Algeria,Algeria,1994,86.147,2.286,99.77,22.97,4.28,28213777.0
1995_Algeria,Algeria,1995,94.981,1.935,103.96,25.74,4.21,28757788.0
1996_Algeria,Algeria,1996,96.786,1.407,105.31,28.51,4.31,29266415.0
1997_Algeria,Algeria,1997,87.005,1.381,109.4,31.24,4.18,29742980.0
1998_Algeria,Algeria,1998,106.621,2.11,114.7,34.23,4.75,30192750.0
1999_Algeria,Algeria,1999,91.668,2.173,120.68,37.2,4.68,30623406.0
2000_Algeria,Algeria,2000,82.221,1.96,127.65,40.16,7.56,31042238.0
2001_Algeria,Algeria,2001,83.78,2.096,125.23,41.65,7.57,31451513.0
2002_Algeria,Algeria,2002,89.407,2.609,132.44,43.18,7.39,31855110.0
2003_Algeria,Algeria,2003,91.048,2.788,138.3,45.03,7.64,32264159.0
2004_Algeria,Algeria,2004,87.853,1.924,142.19,46.93,8.31,32692153.0
2005_Algeria,Algeria,2005,106.473,2.363,147.71,48.69,7.72,33149720.0
2006_Algeria,Algeria,2006,100.203,2.7,145.93,48.58,8.06,33641007.0
2007_Algeria,Algeria,2007,108.402,3.012,153.16,48.53,8.11,34166976.0
2008_Algeria,Algeria,2008,109.032,3.008,157.23,48.18,7.77,34730604.0
2009_Algeria,Algeria,2009,120.185,1.594,166.45,48.19,8.3,35333882.0
2010_Algeria,Algeria,2010,117.813,1.216,167.18,48.23,8.53,35977451.0
2011_Algeria,Algeria,2011,119.808,1.048,179.59,48.49,9.18,36661438.0
2012_Algeria,Algeria,2012,128.111,1.037,189.6,48.98,10.23,37383899.0
2013_Algeria,Algeria,2013,132.435,0.725,193.45,48.89,10.59,38140135.0
2014_Algeria,Algeria,2014,142.529,0.546,203.81,49.29,11.35,38923688.0
2015_Algeria,Algeria,2015,149.683,0.502,212.51,49.32,11.88,39728020.0
1990_Argentina,Argentina,1990,112.079,3.07,329.74,114.0,37.97,32618648.0
1991_Argentina,Argentina,1991,117.506,2.689,334.38,113.82,37.83,33079002.0
1992_Argentina,Argentina,1992,121.231,2.803,338.74,115.63,38.55,33529320.0
1993_Argentina,Argentina,1993,117.777,2.301,338.81,115.12,38.07,33970103.0
1994_Argentina,Argentina,1994,122.229,3.561,348.84,116.59,39.08,34402669.0
1995_Argentina,Argentina,1995,127.765,3.701,351.33,116.99,39.17,34828168.0
1996_Argentina,Argentina,1996,134.762,3.1,351.4,111.1,38.05,35246376.0
1997_Argentina,Argentina,1997,137.641,2.777,356.31,111.69,38.58,35657438.0
1998_Argentina,Argentina,1998,139.452,2.84,359.59,110.1,38.18,36063451.0
1999_Argentina,Argentina,1999,147.285,2.154,367.05,113.89,38.82,36467218.0
2000_Argentina,Argentina,2000,142.358,1.656,366.34,112.96,40.25,36870796.0
2001_Argentina,Argentina,2001,134.004,1.29,383.27,117.39,43.19,37275644.0
2002_Argentina,Argentina,2002,124.392,1.099,386.17,122.19,42.96,37681743.0
2003_Argentina,Argentina,2003,134.631,1.99,408.49,130.69,47.63,38087866.0
2004_Argentina,Argentina,2004,157.043,2.198,436.71,134.43,47.76,38491970.0
2005_Argentina,Argentina,2005,161.434,3.268,428.51,129.37,45.86,38892924.0
2006_Argentina,Argentina,2006,174.609,3.866,462.74,132.85,47.48,39289876.0
2007_Argentina,Argentina,2007,174.246,3.66,465.58,131.63,49.5,39684303.0
2008_Argentina,Argentina,2008,188.106,3.877,482.38,132.83,49.14,40080159.0
2009_Argentina,Argentina,2009,178.949,3.232,469.51,128.28,43.28,40482786.0
2010_Argentina,Argentina,2010,186.733,3.99,451.7,115.71,43.46,40895751.0
2011_Argentina,Argentina,2011,190.274,4.723,460.12,115.53,44.48,41320497.0
2012_Argentina,Argentina,2012,191.715,5.009,478.03,121.03,44.41,41755188.0
2013_Argentina,Argentina,2013,190.133,4.84,466.52,119.75,45.44,42196034.0
2014_Argentina,Argentina,2014,188.657,5.536,467.82,118.12,45.27,42637508.0
2015_Argentina,Argentina,2015,192.406,5.467,470.55,117.37,44.65,43075416.0
2016_Argentina,Argentina,2016,190.977,4.192,482.08,121.54,48.33,43508459.0
1990_Armenia,Armenia,1990,8.962,0.696,24.39,3.59,0.87,3538164.0
1991_Armenia,Armenia,1991,7.288,0.606,25.08,3.42,0.82,3505249.0
1992_Armenia,Armenia,1992,5.863,0.374,14.85,3.17,0.75,3442820.0
1993_Armenia,Armenia,1993,2.575,0.007,8.68,2.94,0.65,3363111.0
1994_Armenia,Armenia,1994,2.713,0.095,6.23,2.77,0.58,3283664.0
1995_Armenia,Armenia,1995,3.433,0.007,6.8,2.61,0.57,3217349.0
1996_Armenia,Armenia,1996,2.595,0.015,5.68,2.46,0.57,3168213.0
1997_Armenia,Armenia,1997,3.269,0.015,6.41,2.3,0.56,3133081.0
1998_Armenia,Armenia,1998,3.397,0.015,6.34,2.1,0.54,3108691.0
1999_Armenia,Armenia,1999,3.05,0.007,5.75,1.95,0.52,3089020.0
2002_Armenia,Armenia,2002,3.077,0.048,5.92,1.93,0.63,3033976.0
2003_Armenia,Armenia,2003,3.456,0.073,6.37,1.98,0.61,3017938.0
2006_Armenia,Armenia,2006,4.402,0.004,7.95,2.15,0.95,2958301.0
2007_Armenia,Armenia,2007,5.1,0.007,8.57,2.24,0.79,2932615.0
2008_Armenia,Armenia,2008,5.575,0.007,9.14,2.31,0.78,2907615.0
2010_Armenia,Armenia,2010,4.253,0.004,7.83,2.37,0.79,2877314.0
2011_Armenia,Armenia,2011,4.969,0.007,8.26,2.37,0.82,2876536.0
2012_Armenia,Armenia,2012,5.748,0.007,9.18,2.42,0.97,2884239.0
2013_Armenia,Armenia,2013,5.535,0.004,9.13,2.5,1.04,2897593.0
2014_Armenia,Armenia,2014,5.604,0.004,9.11,2.54,0.99,2912403.0
2015_Armenia,Armenia,2015,5.469,0.004,8.73,2.56,1.09,2925559.0
2016_Armenia,Armenia,2016,5.203,0.004,9.46,2.57,1.62,2936147.0
1990_Australia,Australia,1990,279.365,142.497,511.2,162.19,82.27,16960600.0
1991_Australia,Australia,1991,281.872,147.307,511.08,161.9,81.35,17189235.0
1992_Australia,Australia,1992,286.332,151.004,513.32,161.32,80.52,17402179.0
1993_Australia,Australia,1993,291.325,151.373,513.0,157.97,80.33,17603211.0
1994_Australia,Australia,1994,300.084,154.669,516.03,156.81,80.19,17798526.0
1995_Australia,Australia,1995,308.023,157.261,524.11,155.34,80.05,17993083.0
1996_Australia,Australia,1996,316.332,162.662,517.13,146.48,71.91,18189274.0
1997_Australia,Australia,1997,327.11,171.244,528.17,150.62,71.89,18387205.0
1998_Australia,Australia,1998,338.697,180.054,554.16,151.21,75.76,18587027.0
1999_Australia,Australia,1999,346.599,184.875,589.37,164.01,93.36,18788187.0
2000_Australia,Australia,2000,351.82,186.942,608.16,170.05,99.82,18991434.0
2001_Australia,Australia,2001,360.455,191.835,700.99,187.38,117.67,19194676.0
2002_Australia,Australia,2002,367.113,194.077,688.48,176.89,108.51,19401366.0
2003_Australia,Australia,2003,373.233,197.462,620.39,140.63,70.85,19624163.0
2004_Australia,Australia,2004,386.766,204.293,664.4,153.78,90.89,19879654.0
2005_Australia,Australia,2005,387.602,201.452,622.46,131.51,65.02,20178543.0
2006_Australia,Australia,2006,397.295,206.942,637.39,158.53,90.0,20526300.0
2007_Australia,Australia,2007,401.926,204.714,628.77,149.32,80.29,20916339.0
2008_Australia,Australia,2008,409.653,207.416,597.42,131.52,64.67,21332293.0
2009_Australia,Australia,2009,401.321,203.142,617.92,138.15,70.06,21750852.0
2010_Australia,Australia,2010,404.533,200.253,579.14,121.11,56.13,22154687.0
2011_Australia,Australia,2011,405.344,192.845,617.79,174.14,112.17,22538002.0
2012_Australia,Australia,2012,402.666,187.515,617.86,173.59,112.58,22903951.0
2013_Australia,Australia,2013,393.171,174.256,529.26,132.67,66.69,23254912.0
2014_Australia,Australia,2014,399.254,170.393,537.95,140.26,78.34,23596426.0
2015_Australia,Australia,2015,403.279,174.961,536.33,137.07,73.52,23932499.0
2016_Australia,Australia,2016,415.945,181.724,519.09,122.11,57.18,24262710.0
1990_Austria,Austria,1990,62.14,18.139,64.22,11.57,4.9,7723954.0
1991_Austria,Austria,1991,65.738,18.699,68.45,11.51,4.91,7772698.0
1992_Austria,Austria,1992,60.236,14.386,62.72,11.32,4.71,7830938.0
1993_Austria,Austria,1993,60.661,13.274,62.63,10.99,4.65,7892089.0
1994_Austria,Austria,1994,61.034,13.456,62.71,10.61,4.61,7947215.0
1995_Austria,Austria,1995,64.011,15.423,65.12,10.12,4.59,7990113.0
1996_Austria,Austria,1996,67.355,15.068,68.92,9.89,4.69,8017852.0
1997_Austria,Austria,1997,67.252,16.156,67.91,9.59,4.64,8032873.0
1998_Austria,Austria,1998,66.887,13.706,67.88,9.31,4.64,8041054.0
1999_Austria,Austria,1999,65.64,13.875,65.98,9.17,4.63,8051116.0
2000_Austria,Austria,2000,66.139,15.753,66.22,8.94,4.59,8069276.0
2001_Austria,Austria,2001,70.139,16.564,75.32,8.8,4.46,8097755.0
2002_Austria,Austria,2002,71.943,16.737,77.0,8.69,4.77,8134403.0
2003_Austria,Austria,2003,77.451,18.023,82.93,8.53,5.58,8175855.0
2004_Austria,Austria,2004,77.668,17.766,82.53,8.45,3.79,8216809.0
2005_Austria,Austria,2005,79.068,17.862,82.42,8.24,3.81,8253656.0
2006_Austria,Austria,2006,76.796,17.865,82.82,8.06,3.77,8285344.0
2007_Austria,Austria,2007,74.097,17.455,80.37,7.88,3.66,8313731.0
2008_Austria,Austria,2008,73.472,17.028,80.16,7.8,3.79,8341525.0
2009_Austria,Austria,2009,67.291,12.833,72.87,7.6,3.53,8372657.0
2010_Austria,Austria,2010,72.0,15.501,78.38,7.58,3.52,8409945.0
2011_Austria,Austria,2011,69.889,15.819,75.85,7.41,3.55,8453501.0
2012_Austria,Austria,2012,67.263,14.687,73.2,7.25,3.59,8502230.0
2013_Austria,Austria,2013,67.759,14.96,73.79,7.11,3.62,8556191.0
2014_Austria,Austria,2014,64.161,13.802,70.16,6.96,3.68,8615205.0
2015_Austria,Austria,2015,66.352,14.373,71.49,6.88,3.68,8678667.0
2016_Austria,Austria,2016,67.215,13.335,71.85,6.79,3.7,8747306.0
1990_Azerbaijan,Azerbaijan,1990,51.38,0.343,75.56,16.39,2.84,7242758.0
1991_Azerbaijan,Azerbaijan,1991,50.034,0.252,84.61,15.84,2.89,7357945.0
1992_Azerbaijan,Azerbaijan,1992,56.174,0.066,60.83,14.83,2.55,7471924.0
1993_Azerbaijan,Azerbaijan,1993,48.406,0.011,69.05,14.28,2.35,7581754.0
1994_Azerbaijan,Azerbaijan,1994,41.944,0.004,62.5,13.8,2.23,7683704.0
1995_Azerbaijan,Azerbaijan,1995,33.309,0.015,60.46,13.5,2.24,7775418.0
1996_Azerbaijan,Azerbaijan,1996,31.242,0.015,55.82,14.32,2.16,7855558.0
1997_Azerbaijan,Azerbaijan,1997,29.802,0.015,55.91,15.21,2.27,7925668.0
1998_Azerbaijan,Azerbaijan,1998,31.666,0.004,56.76,16.09,2.3,7989903.0
2007_Azerbaijan,Azerbaijan,2007,30.459,0.022,58.76,35.33,3.1,8724237.0
2008_Azerbaijan,Azerbaijan,2008,35.45,0.015,66.32,40.64,3.29,8821869.0
2009_Azerbaijan,Azerbaijan,2009,31.856,0.015,67.23,45.93,3.33,8924383.0
2010_Azerbaijan,Azerbaijan,2010,30.633,0.022,71.51,51.23,3.3,9032465.0
2011_Azerbaijan,Azerbaijan,2011,32.976,0.018,74.01,50.03,3.38,9146277.0
2012_Azerbaijan,Azerbaijan,2012,35.048,0.015,75.3,48.88,3.48,9264684.0
2013_Azerbaijan,Azerbaijan,2013,35.215,0.011,74.98,47.75,3.52,9385467.0
2014_Azerbaijan,Azerbaijan,2014,36.975,0.007,75.23,46.58,3.61,9505616.0
2015_Azerbaijan,Azerbaijan,2015,36.989,0.011,73.87,45.44,3.49,9622741.0
2016_Azerbaijan,Azerbaijan,2016,37.055,0.004,73.98,44.82,3.6,9736041.0
1990_Bahamas,Bahamas,1990,2.023,0.004,0.81,0.24,0.07,256226.0
1991_Bahamas,Bahamas,1991,1.997,0.004,0.64,0.24,0.07,261007.0
1992_Bahamas,Bahamas,1992,1.869,0.004,0.65,0.24,0.07,266028.0
1993_Bahamas,Bahamas,1993,1.744,0.004,0.56,0.24,0.07,271065.0
1994_Bahamas,Bahamas,1994,1.77,0.004,0.55,0.25,0.07,275849.0
1995_Bahamas,Bahamas,1995,1.839,0.004,0.55,0.25,0.07,280179.0
1996_Bahamas,Bahamas,1996,1.814,0.004,0.54,0.24,0.07,283980.0
1997_Bahamas,Bahamas,1997,1.608,0.004,0.24,0.24,0.07,287363.0
1998_Bahamas,Bahamas,1998,1.99,0.004,0.58,0.26,0.08,290600.0
1999_Bahamas,Bahamas,1999,2.034,0.004,0.57,0.26,0.08,294063.0
2000_Bahamas,Bahamas,2000,2.026,0.004,0.59,0.28,0.08,298045.0
2001_Bahamas,Bahamas,2001,1.946,0.004,0.89,0.21,0.06,302618.0
2002_Bahamas,Bahamas,2002,2.037,0.004,0.95,0.25,0.07,307657.0
2003_Bahamas,Bahamas,2003,2.07,0.007,0.83,0.2,0.05,313123.0
2004_Bahamas,Bahamas,2004,2.048,0.007,1.25,0.35,0.11,318893.0
2005_Bahamas,Bahamas,2005,1.905,0.007,1.19,0.29,0.09,324848.0
2006_Bahamas,Bahamas,2006,1.854,0.007,6.94,0.25,0.08,331032.0
2007_Bahamas,Bahamas,2007,1.872,0.004,6.95,0.24,0.07,337387.0
2008_Bahamas,Bahamas,2008,1.916,0.004,6.86,0.31,0.1,343680.0
2009_Bahamas,Bahamas,2009,1.949,0.004,6.95,0.27,0.08,349600.0
2010_Bahamas,Bahamas,2010,1.902,0.004,6.93,0.24,0.06,354936.0
2011_Bahamas,Bahamas,2011,2.114,0.004,2.77,0.38,0.12,359583.0
2012_Bahamas,Bahamas,2012,2.312,0.004,2.71,0.25,0.08,363581.0
2013_Bahamas,Bahamas,2013,2.704,0.004,3.75,0.4,0.14,367162.0
2014_Bahamas,Bahamas,2014,2.429,0.004,3.19,0.28,0.09,370625.0
2015_Bahamas,Bahamas,2015,2.136,0.004,3.76,0.29,0.1,374200.0
2016_Bahamas,Bahamas,2016,1.979,0.004,3.97,0.34,0.12,377923.0
1990_Bangladesh,Bangladesh,1990,14.082,1.07,116.29,64.7,16.45,103171957.0
1991_Bangladesh,Bangladesh,1991,14.742,0.341,116.54,64.77,17.24,105599125.0
1992_Bangladesh,Bangladesh,1992,15.38,0.322,118.34,65.37,17.54,107983708.0
1993_Bangladesh,Bangladesh,1993,16.063,0.121,119.61,65.44,17.92,110350641.0
1994_Bangladesh,Bangladesh,1994,17.538,0.099,122.08,66.25,18.57,112737684.0
1995_Bangladesh,Bangladesh,1995,21.042,1.22,127.09,66.99,19.84,115169933.0
1996_Bangladesh,Bangladesh,1996,21.493,0.678,127.08,66.44,20.34,117649927.0
1997_Bangladesh,Bangladesh,1997,23.126,1.227,129.32,67.01,19.86,120160571.0
1998_Bangladesh,Bangladesh,1998,23.198,0.352,129.47,66.58,19.92,122682818.0
1999_Bangladesh,Bangladesh,1999,25.075,0.176,133.78,68.49,21.21,125189655.0
2000_Bangladesh,Bangladesh,2000,26.525,1.253,136.2,69.01,21.38,127657862.0
2001_Bangladesh,Bangladesh,2001,31.035,1.33,140.36,69.16,21.9,130088709.0
2002_Bangladesh,Bangladesh,2002,31.981,1.33,143.71,70.23,22.4,132478076.0
2003_Bangladesh,Bangladesh,2003,33.459,1.367,145.52,71.19,21.98,134791598.0
2004_Bangladesh,Bangladesh,2004,35.945,1.451,148.32,71.09,22.11,136986429.0
2005_Bangladesh,Bangladesh,2005,37.677,1.605,151.84,72.51,22.88,139035505.0
2006_Bangladesh,Bangladesh,2006,41.689,1.81,147.64,73.86,24.03,140921154.0
2007_Bangladesh,Bangladesh,2007,42.642,2.209,149.92,74.17,24.0,142660381.0
2008_Bangladesh,Bangladesh,2008,45.301,2.47,160.83,76.86,26.11,144304164.0
2009_Bangladesh,Bangladesh,2009,49.148,3.015,164.16,77.56,25.61,145924795.0
2010_Bangladesh,Bangladesh,2010,53.992,3.074,174.16,78.99,26.14,147575433.0
2011_Bangladesh,Bangladesh,2011,56.556,2.836,187.09,79.57,27.13,149273134.0
2012_Bangladesh,Bangladesh,2012,60.691,3.422,190.02,79.73,26.52,151005733.0
2013_Bangladesh,Bangladesh,2013,61.782,3.748,194.46,80.47,26.8,152761413.0
2014_Bangladesh,Bangladesh,2014,65.979,3.507,199.6,81.13,27.72,154517385.0
2015_Bangladesh,Bangladesh,2015,73.277,8.607,209.03,81.2,28.34,156256287.0
2016_Bangladesh,Bangladesh,2016,76.477,6.075,209.58,80.34,27.39,157977151.0
1990_Belarus,Belarus,1990,103.758,8.165,126.04,20.46,17.61,10151135.0
1991_Belarus,Belarus,1991,96.78,6.646,120.89,20.03,16.58,10160785.0
1992_Belarus,Belarus,1992,88.859,6.473,107.74,18.01,13.21,10154338.0
1993_Belarus,Belarus,1993,76.555,5.929,94.95,17.15,12.82,10135133.0
1994_Belarus,Belarus,1994,62.505,4.944,81.86,16.34,12.17,10108280.0
1995_Belarus,Belarus,1995,57.508,3.972,73.84,15.53,12.04,10077606.0
1996_Belarus,Belarus,1996,58.377,4.449,73.34,14.97,12.0,10044854.0
1997_Belarus,Belarus,1997,58.92,3.523,73.67,14.73,12.01,10009393.0
1998_Belarus,Belarus,1998,57.396,3.283,71.73,14.67,11.92,9969986.0
1999_Belarus,Belarus,1999,54.902,2.977,69.41,14.55,11.84,9924440.0
2000_Belarus,Belarus,2000,54.706,3.516,66.68,14.08,11.66,9871635.0
2001_Belarus,Belarus,2001,54.77,3.497,58.02,13.88,12.29,9811399.0
2002_Belarus,Belarus,2002,54.583,2.973,64.65,15.69,11.62,9745932.0
2003_Belarus,Belarus,2003,56.105,2.884,60.28,14.43,11.62,9679235.0
2004_Belarus,Belarus,2004,59.801,2.728,61.44,14.16,11.67,9616628.0
2005_Belarus,Belarus,2005,61.127,2.83,62.51,13.97,12.03,9562083.0
2006_Belarus,Belarus,2006,63.934,2.864,58.37,14.66,12.57,9516884.0
2007_Belarus,Belarus,2007,63.303,2.813,55.54,14.64,12.33,9480514.0
2008_Belarus,Belarus,2008,65.439,2.584,59.68,15.47,12.84,9452855.0
2009_Belarus,Belarus,2009,61.045,2.654,57.12,15.63,13.02,9433159.0
2010_Belarus,Belarus,2010,62.775,2.906,61.38,16.0,12.89,9420576.0
2011_Belarus,Belarus,2011,61.629,2.944,84.51,15.67,13.39,9415316.0
2012_Belarus,Belarus,2012,62.674,3.22,88.33,16.53,13.38,9417045.0
2013_Belarus,Belarus,2013,63.237,3.211,87.04,16.72,13.07,9423502.0
2014_Belarus,Belarus,2014,62.609,3.074,88.04,17.33,12.8,9431742.0
2015_Belarus,Belarus,2015,58.038,2.808,84.2,17.75,12.72,9439424.0
2016_Belarus,Belarus,2016,59.851,3.171,80.7,16.59,11.81,9445638.0
1990_Belgium,Belgium,1990,120.308,41.394,126.7,13.23,8.16,10006545.0
1991_Belgium,Belgium,1991,123.378,40.122,131.76,13.32,8.12,10039450.0
1992_Belgium,Belgium,1992,122.505,38.118,129.88,13.14,7.77,10078098.0
1993_Belgium,Belgium,1993,121.439,36.562,127.92,12.95,8.0,10118684.0
1994_Belgium,Belgium,1994,124.808,38.013,133.38,12.98,8.53,10155909.0
1995_Belgium,Belgium,1995,125.942,36.955,133.46,13.11,8.9,10186304.0
1996_Belgium,Belgium,1996,129.48,34.203,138.9,12.98,9.41,10208265.0
1997_Belgium,Belgium,1997,123.983,31.916,135.57,12.78,9.1,10223785.0
1998_Belgium,Belgium,1998,130.209,33.214,138.18,12.53,9.19,10237298.0
1999_Belgium,Belgium,1999,124.701,28.931,134.26,12.6,9.12,10255161.0
2000_Belgium,Belgium,2000,126.72,31.672,134.84,12.12,7.76,10282046.0
2001_Belgium,Belgium,2001,126.065,28.29,135.09,11.6,7.5,10319026.0
2002_Belgium,Belgium,2002,126.865,28.637,127.83,11.07,8.01,10364879.0
2003_Belgium,Belgium,2003,128.25,27.766,131.3,10.4,7.24,10419029.0
2004_Belgium,Belgium,2004,128.781,28.252,129.95,10.27,7.33,10480118.0
2005_Belgium,Belgium,2005,125.641,26.196,125.9,10.0,7.09,10546885.0
2006_Belgium,Belgium,2006,123.884,25.337,123.68,9.86,6.09,10619484.0
2007_Belgium,Belgium,2007,120.48,23.158,119.45,9.64,5.49,10697576.0
2008_Belgium,Belgium,2008,120.181,23.259,121.29,9.45,5.54,10778764.0
2009_Belgium,Belgium,2009,107.712,15.162,114.36,9.37,5.63,10859934.0
2010_Belgium,Belgium,2010,114.544,17.526,121.56,9.26,6.13,10938735.0
2011_Belgium,Belgium,2011,105.026,16.691,109.55,9.03,4.88,11013860.0
2012_Belgium,Belgium,2012,102.386,15.078,108.86,8.84,4.93,11085355.0
2013_Belgium,Belgium,2013,102.652,15.332,109.67,8.63,4.77,11154008.0
2014_Belgium,Belgium,2014,96.868,14.795,103.62,8.55,4.74,11221225.0
2015_Belgium,Belgium,2015,101.056,14.438,108.55,8.54,4.79,11287931.0
2016_Belgium,Belgium,2016,99.872,13.544,107.35,8.45,4.49,11354407.0
2014_Benin,Benin,2014,4.796,0.187,24.57,5.31,2.71,10286839.0
2015_Benin,Benin,2015,5.326,0.11,25.42,5.47,2.67,10575962.0
2016_Benin,Benin,2016,6.6,0.319,26.53,5.78,2.99,10872072.0
1990_Bhutan,Bhutan,1990,0.128,0.048,-2.93,0.87,0.18,530801.0
1991_Bhutan,Bhutan,1991,0.175,0.048,-2.87,0.87,0.18,534637.0
1992_Bhutan,Bhutan,1992,0.205,0.081,-2.88,0.85,0.17,534525.0
1993_Bhutan,Bhutan,1993,0.172,0.044,-2.91,0.85,0.18,532590.0
1994_Bhutan,Bhutan,1994,0.202,0.063,-2.88,0.85,0.18,531905.0
1995_Bhutan,Bhutan,1995,0.236,0.077,-2.79,0.9,0.19,534629.0
1996_Bhutan,Bhutan,1996,0.284,0.093,-2.79,0.86,0.17,541471.0
1997_Bhutan,Bhutan,1997,0.375,0.189,-2.69,0.87,0.18,551713.0
1998_Bhutan,Bhutan,1998,0.368,0.18,-2.68,0.88,0.18,564378.0
1999_Bhutan,Bhutan,1999,0.372,0.176,-2.62,0.92,0.19,577886.0
2000_Bhutan,Bhutan,2000,0.383,0.176,-2.67,0.88,0.17,591014.0
2001_Bhutan,Bhutan,2001,0.369,0.145,-3.02,0.84,0.17,603643.0
2002_Bhutan,Bhutan,2002,0.401,0.169,-3.0,0.83,0.17,616025.0
2003_Bhutan,Bhutan,2003,0.36,0.11,-3.03,0.83,0.17,627840.0
